Field Current I_F [A],Open Circuit Voltage V_0 [V],Short Circuit Current I_s [A],Synchronous Impedance Z_s [Ohm]
0.5,87.1944125,4.8477,10.3846602571748
0.6,104.91525224,5.692699999999999,10.640442869440072
0.7,120.94167563999997,6.537699999999999,10.680470040992766
0.8,135.40112384,7.3827,10.588792081162971
0.9,148.41621614,8.227699999999999,10.41459245482148
1.0,160.10475,9.0727,10.188424670829825
1.1,170.57970104,9.9177,9.930148755631839
1.2,179.94922303999996,10.762699999999999,9.653129081235006
1.3,188.31664794,11.6077,9.36659866993866
1.4,195.78048583999995,12.452699999999998,9.077060894569026
1.5,202.434425,13.297699999999999,8.789156753949715
1.6,208.36733184,14.1427,8.506221239802025
1.7,213.66325094000004,14.987699999999998,8.230651497303763
1.8,218.40140504000001,15.832699999999999,7.964157092045989
1.9,222.65619503999997,16.677699999999994,7.707934196147061
2.0,226.4972,17.5227,7.462789375535534
2.1,229.98917714000007,18.3677,7.229229208473548
2.2,233.19206184000004,19.212699999999998,7.007526254831851
2.3,236.16096763999994,20.057699999999997,6.79776835026132
2.4,238.94618623999995,20.902699999999996,6.599895943944967
2.5,241.59318749999997,21.747700000000002,6.413730731870713
2.6,244.14261943999995,22.5927,6.238997864546705
2.7,246.63030824,23.4377,6.075343350784607
2.8,249.0872582399999,24.2827,5.922347827736199
2.9,251.53965194000003,25.127699999999997,5.779537552558484
3.0,254.00884999999997,25.972699999999996,5.646393248451154
